P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data     6/09/2019  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Zr,Sb,Ba,La,Ce,Pr,Nd,Sm,Yb,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Dt
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000045.spe,116.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,411188,1.64,198,369,146,183,6010,772,3250,3567,3463,763,176,10068,190835,1040,388,688,56,181,2862,1115,19773,2306,2277,2210,29,26,0,0,28,33,130,187,0,331,1625,877,256435,51110,0.523
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000046.spe,117.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,460384,1.83,154,395,127,246,6164,722,3387,3176,3362,786,250,10082,301908,1120,337,639,369,394,5698,955,20212,2317,2690,2341,38,110,0,0,0,55,179,0,0,464,1224,815,244909,48522,0.542
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000047.spe,118.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,456808,1.71,251,372,164,255,6240,676,3128,2963,3434,706,176,5824,300393,1162,391,1983,178,224,7725,1116,20575,1774,2607,1817,11,0,0,42,0,0,150,0,0,311,973,786,245834,48643,0.54
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000048.spe,119.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,470616,1.85,243,451,217,343,5865,711,3511,3070,3748,737,341,5542,327083,1049,331,1511,138,455,7584,840,18821,2158,2933,1815,8,21,0,0,0,0,103,0,0,322,757,808,245104,48601,0.546
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000049.spe,120.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,452178,1.69,233,343,101,320,5692,673,3381,3028,3745,528,227,3987,246873,1044,461,978,73,391,5328,1251,20098,2907,2987,1846,0,8,0,0,20,11,149,69,0,154,786,869,260988,50644,0.545
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000050.spe,121.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,451109,1.7,166,349,104,261,5579,695,3030,2980,3244,592,230,2452,202155,1315,289,981,0,522,3370,1035,19173,2157,2405,1942,26,77,0,0,13,0,95,0,0,292,150,762,275188,49982,0.55
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000051.spe,122.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,426981,1.4,153,389,146,294,6163,761,3112,3564,3008,302,218,1266,106912,1237,591,895,0,240,997,1265,18759,2042,2745,1834,93,55,8,0,0,0,135,0,0,275,583,1011,292024,52022,0.545
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000052.spe,123.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,422183,1.42,197,302,135,320,6123,725,2885,2826,2841,198,215,1210,95056,1426,593,2009,279,444,938,1240,19510,2705,2748,1941,19,76,0,0,38,0,63,0,0,278,726,1155,289155,52026,0.545
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000053.spe,124.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,418852,1.55,139,310,91,263,5793,783,2959,2782,2921,250,112,1504,99435,1417,648,3584,70,324,1068,1346,21651,2908,2901,1680,71,31,0,17,39,0,81,0,20,248,593,1152,286095,52845,0.542
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000054.spe,125.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,438129,1.69,162,330,107,236,6075,669,3195,2878,3271,256,146,2190,132253,1265,473,2735,0,202,1448,1353,21325,2565,2773,1846,15,28,0,0,0,0,76,0,0,264,321,1048,285603,52397,0.549
